data,categoria,valor
2026-01-05,Alimentação,35.5
2026-01-08,Transporte,12.0
2026-01-10,Lazer,80.0
2026-01-15,Alimentação,42.9
2026-01-20,Contas,150.0
2026-01-25,Compras,120.0
2026-02-02,Transporte,20.0
2026-02-05,Alimentação,55.9
2026-02-10,Lazer,75.0
2026-02-14,Contas,180.0
2026-02-18,Alimentação,38.5
2026-02-22,Compras,210.0
2026-03-03,Transporte,15.0
2026-03-07,Alimentação,48.9
2026-03-12,Lazer,95.0
2026-03-15,Contas,160.0
2026-03-19,Alimentação,32.5
2026-03-25,Compras,350.0
2026-04-02,Transporte,18.0
2026-04-06,Alimentação,60.0
2026-04-11,Lazer,110.0
2026-04-16,Contas,175.0
2026-04-20,Alimentação,45.0
2026-04-27,Compras,250.0
